"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 14 08:22:03 GMT 2025","Sat Jun 14 08:22:05 GMT 2025","1654","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 14 08:22:05 GMT 2025","Sat Jun 14 08:22:07 GMT 2025","2297","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sat Jun 14 08:22:00 GMT 2025","Sat Jun 14 08:22:02 GMT 2025","2313","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 14 08:22:00 GMT 2025","Sat Jun 14 08:22:02 GMT 2025","2355","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 14 08:22:10 GMT 2025","Sat Jun 14 08:22:13 GMT 2025","2926","LMS system","Courses","Courses","","","Create course",""
"passed","Sat Jun 14 08:22:13 GMT 2025","Sat Jun 14 08:22:17 GMT 2025","3528","LMS system","Courses","Courses","","","Edit course",""
"passed","Sat Jun 14 08:22:07 GMT 2025","Sat Jun 14 08:22:09 GMT 2025","1524","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sat Jun 14 08:22:11 GMT 2025","Sat Jun 14 08:22:13 GMT 2025","1929","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sat Jun 14 08:22:13 GMT 2025","Sat Jun 14 08:22:16 GMT 2025","2487","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sat Jun 14 08:22:03 GMT 2025","Sat Jun 14 08:22:07 GMT 2025","3539","LMS system","Authentication","Authorization","","","User login with correct email and password",""
